CASE ID,LicenseCount,AccountStatus,ChurnFlag,Activation Date Range,Tenure,Cancellation Date,ARR Category,Persona,QuickbooksComplete,BudgetCount,ActiveBudgetCount,StandardEstimateCount,ServicedEstimateCount,LeadPortalActiveCount,TimesheetCount,InvoiceCount,OnlinePaymentCountThisYear,OnlinePaymentValueThisYear,TimesheetPhotos Count
26,18,Active,0,10/10/2013,148,,SMB,P2,1,22,1,3017,1935,135,12417,1,0,0,1
27,1,Active,0,10/10/2013,148,,SMB,P3,1,27,2,579,42,5,5569,0,0,0,578
28,8,Active,0,10/10/2013,148,,SMB,P2,1,41,14,2341,1112,8,11318,0,0,0,1879
29,15,Active,0,10/10/2013,148,,SMB,P2,1,33,10,408,909,208,9307,0,0,0,1485
35,5,Active,0,10/10/2013,148,,SMB,P1,1,20,3,1241,7,0,4094,0,0,0,0
43,9,Active,0,10/10/2013,148,,MidMarket,P3,1,60,7,2106,12,66,5381,0,0,0,3068
46,2,Active,0,10/10/2013,148,,SMB,P2,1,25,7,2283,7,16,6141,3,0,0,8197
47,4,Active,0,10/10/2013,148,,SMB,P2,1,38,3,2321,561,0,6231,3,0,0,236
49,7,Active,0,10/10/2013,148,,SMB,P2,1,67,23,2603,10,0,14095,0,0,0,6
59,5,Active,0,10/10/2013,148,,SMB,P4,1,85,48,106,2477,0,0,0,0,0,0
63,3,Active,0,10/10/2013,148,,SMB,P3,1,24,3,2746,1301,69,37,107,0,0,0
65,8,Active,0,10/10/2013,148,,SMB,P2,1,7,4,1164,1325,335,1593,0,0,0,841
67,25,Active,0,10/10/2013,148,,MidMarket,P3,1,23,3,2017,654,242,8746,5,0,0,20883
88,18,Active,0,10/10/2013,148,,MidMarket,P3,1,34,19,778,286,0,9155,0,0,0,49
91,2,Active,0,10/10/2013,148,,SMB,P3,1,30,13,2118,1446,172,0,0,0,0,0
92,29,Active,0,10/10/2013,148,,MidMarket,P3,1,80,5,3605,3524,69,22112,0,0,0,58497
95,45,Active,0,10/10/2013,148,,MidMarket,P3,1,29,1,7009,329,69,35917,751,0,0,59446
103,21,Active,0,10/10/2013,148,,SMB,P3,1,29,20,2509,26,38,14409,97,0,0,2988
130,81,Active,0,10/10/2013,148,,Enterprise,P4,1,46,21,5601,4145,153,80732,11259,0,0,1496
135,26,Active,0,10/10/2013,148,,MidMarket,P3,1,70,12,3260,2832,199,27426,69,0,0,286
150,2,Active,0,10/10/2013,148,,SMB,P2,1,33,17,804,0,0,5,0,0,0,0
295,15,Active,0,10/10/2013,148,,SMB,P2,1,18,4,1439,15,13,15111,7,0,0,1160
299,27,Active,0,10/10/2013,148,,SMB,P3,1,38,1,3242,3282,109,22476,4,0,0,372
314,18,Active,0,10/10/2013,148,,SMB,P3,1,57,5,3046,13,73,13357,9,0,0,22
336,9,Active,0,10/10/2013,148,,SMB,P2,1,17,8,1106,1,0,10547,0,0,0,72
338,5,Active,0,10/10/2013,148,,SMB,P3,1,17,4,1780,54,12,1,0,0,0,0
383,2,Active,0,10/10/2013,148,,SMB,P1,1,11,11,1283,27,0,9,0,0,0,0
394,10,Active,0,10/10/2013,148,,MidMarket,P2,1,26,3,407,529,7,16035,446,0,0,1909
598,16,Active,0,10/29/2013,147,,SMB,P3,1,99,13,5240,1044,92,140,5,0,0,115
667,24,Active,0,10/10/2013,148,,SMB,P2,1,38,18,3863,511,12,11295,2,0,0,437
671,14,Active,0,10/29/2013,147,,SMB,P4,1,57,28,19831,7363,96,52228,17178,0,0,162594
675,18,Active,0,10/10/2013,148,,MidMarket,P3,1,31,7,5787,210,101,22936,802,4,9814.04,1236
718,144,Active,0,10/10/2013,148,,Enterprise,P4,1,65,7,16674,5118,1087,70070,5431,1408,1936674.03,168186
888,1,Active,0,10/10/2013,148,,SMB,P2,1,7,2,3340,30,0,46,0,0,0,0
894,4,Active,0,10/10/2013,148,,SMB,P1,1,8,1,812,504,0,25481,0,0,0,0
920,13,Active,0,10/10/2013,148,,SMB,P2,1,36,5,886,26,17,6902,0,0,0,0
924,19,Active,0,10/10/2013,148,,SMB,P3,1,7,1,2889,341,0,9584,1,0,0,522
931,15,Active,0,10/10/2013,148,,SMB,P3,1,38,18,1859,1156,256,18314,2044,0,0,1609
1036,7,Active,0,10/10/2013,148,,MidMarket,P3,1,33,8,1292,2288,63,129,0,0,0,0
1038,5,Active,0,10/10/2013,148,,MidMarket,P2,1,28,5,3079,63,32,4609,358,0,0,444
1055,22,Active,0,10/10/2013,148,,MidMarket,P3,1,33,3,2495,1780,269,10918,9647,0,0,2208
1107,5,Active,0,10/10/2013,148,,MidMarket,P4,1,19,7,6469,1678,0,22604,416,0,0,14648
1115,23,Active,0,10/10/2013,148,,MidMarket,P3,1,7,5,1995,199,20,15252,3,0,0,75
1122,2,Active,0,10/10/2013,148,,SMB,P1,1,17,1,1450,312,54,5,0,0,0,0
1170,4,Active,0,10/10/2013,148,,SMB,P2,1,20,12,84,15,0,4272,0,0,0,0
1213,2,Active,0,10/10/2013,148,,SMB,P1,1,19,11,1563,5,18,2,0,0,0,0
1215,1,Active,0,10/10/2013,148,,SMB,P1,1,8,6,498,0,0,0,0,0,0,0
1218,1,Active,0,10/10/2013,148,,SMB,P2,1,17,1,761,4,0,3144,0,0,0,0
1253,14,Active,0,10/10/2013,148,,SMB,P2,1,26,7,4390,468,101,13783,0,0,0,14
