Feature,Active Mean,Churn Mean,Mean Diff,% Diff,p value,statsig,Rank
LicenseCount,13.1516137102827,4.2382271468144,8.91338656346831,67.77%,0.00,1,1
TenureMonths ,53.8766574931198,50.5789473684211,3.29771012469879,6.12%,0.50,0,11
BudgetCount,8.41781336002001,6.41828254847645,1.99953081154356,23.75%,0.00,1,8
ActiveBudgetCount,3.26845133850388,3.09418282548476,0.174268513019114,5.33%,0.21,0,10
StandardEstimateCount,1090.37403052289,547.506925207756,542.867105315136,49.79%,0.00,1,7
ServicedEstimateCount,590.137853390043,235.279778393352,354.858074996691,60.13%,0.00,1,5
LeadPortalActiveCount,173.962722041531,71.4903047091413,102.47241733239,58.90%,0.00,1,4
TimesheetCount,4754.24443332499,2577.47368421053,2176.77074911447,45.79%,0.00,1,9
InvoiceCount,1455.89917438079,568.590027700831,887.309146679955,60.95%,0.00,1,6
OnlinePaymentCountThisYear,49.1080810607956,3.71191135734072,45.3961697034549,92.44%,0.00,1,3
OnlinePaymentValueThisYear,39496.1347885914,1485.67313019391,38010.4616583975,96.24%,0.00,1,2
TimesheetPhotos Count,7326.04803602702,6004.29916897507,1321.74886705195,18.04%,0.67,0,12
